county_name,coverage_estimate,location_count,population,>=18 Years,Non-Medical Setting,location_per_1000
Duval,34.333333333333336,792.0,502834.0,32.955555555555556,38.46666666666667,1.5750724891316021
Dyer,38.771428571428565,21.0,36818.0,35.38,47.25,0.5703731870280841
Eagle,45.41428571428571,38.0,55650.0,41.9,54.2,0.6828391734052112
Early,34.3,20.0,10753.0,34.12,34.75,1.8599460615642145
Eastland,39.57142857142857,6.0,17812.0,36.86,46.349999999999994,0.33685156074556477
Eaton,45.01428571428572,122.0,109072.0,44.44,46.45,1.1185272113833065
Echols,34.65714285714286,8.0,3707.0,32.44,40.2,2.158079309414621
Ector,33.22857142857143,140.0,162300.0,29.96,41.400000000000006,0.862600123228589
Eddy,41.042857142857144,35.0,31804.5,40.17,43.225,1.1004732034774953
Edgar,44.5,19.0,16852.0,42.88,48.55,1.1274626157132683
Edgecombe,41.48571428571428,98.0,49067.0,43.1,37.45,1.9972690402918456
Edgefield,42.55714285714286,59.0,26181.0,40.14,48.6,2.2535426454298917
Edmonson,40.92857142857143,37.0,12179.0,40.879999999999995,41.05,3.038016257492405
Edwards,41.67142857142857,25.0,3470.3333333333335,41.32666666666667,42.53333333333333,7.203918931898953
Effingham,41.67857142857143,41.0,49954.0,39.54,47.025,0.8207550946871122
Elbert,42.4,127.0,23013.5,41.269999999999996,45.225,5.518500010863189
Elk,43.17857142857143,37.0,16669.5,44.21,40.6,2.219622664147095
Elkhart,38.1,220.0,206841.0,37.58,39.4,1.0636189150120139
Elko,36.699999999999996,35.0,53600.0,33.1,45.7,0.6529850746268657
Elliott,37.74285714285714,24.0,7378.0,37.92,37.3,3.252914068853348
Ellis,41.80952380952381,278.0,76061.66666666667,40.26,45.68333333333334,3.654929114534259
Elmore,39.49285714285714,137.0,58223.0,36.9,45.975,2.353022001614482
Emanuel,34.042857142857144,24.0,22907.0,32.019999999999996,39.1,1.047714672370891
Emery,42.17142857142857,9.0,9898.0,41.78,43.15,0.9092746009294808
Emmet,47.449999999999996,29.0,21710.5,47.17,48.15,1.3357591948596301
Emmons,41.48571428571428,7.0,3297.0,44.68,33.5,2.1231422505307855
Erath,38.771428571428565,25.0,42788.0,34.559999999999995,49.3,0.5842759652238945
Erie,45.0,1000.0,432342.0,43.34,49.15,2.3129837027168305
Escambia,37.74166666666667,312.0,179025.5,36.855555555555554,40.4,1.7427684882879813
Essex,44.78823529411765,389.0,342673.8,44.55833333333334,45.339999999999996,1.1351903763871063
Estill,38.042857142857144,13.0,14138.0,37.480000000000004,39.45,0.9195077097184892
Etowah,40.771428571428565,88.0,103348.0,38.32,46.9,0.851492046290204
Evans,34.94285714285714,12.0,10759.0,33.739999999999995,37.95,1.115345292313412
Fairfax,54.18571428571429,783.5,584798.0,54.120000000000005,54.35,1.3397788638128036
Fairfield,43.43,431.0,90156.5,42.142857142857146,46.43333333333334,4.780575998402777
Falls,35.81428571428571,59.5,15794.5,33.339999999999996,42.0,3.767134128968945
Fannin,41.08571428571429,53.0,30744.0,38.64,47.2,1.7239136091595109
Faulkner,43.114285714285714,115.0,124611.0,42.04,45.8,0.9228719775942733
Fauquier,48.67142857142857,134.0,73290.0,47.28,52.150000000000006,1.8283531177513985
Fayette,42.84285714285714,770.0,71441.90909090909,41.60727272727273,45.93181818181818,10.777987455796891
Fentress,39.74285714285714,11.0,18642.0,37.58,45.150000000000006,0.590065443621929
Fergus,40.55714285714286,15.0,11496.0,40.980000000000004,39.5,1.3048016701461378
Fillmore,44.92857142857143,10.0,13404.0,45.96,42.349999999999994,0.7460459564309161
Finney,37.285714285714285,26.0,38187.0,37.260000000000005,37.35,0.6808599785267238
Fisher,42.18571428571429,6.0,3680.0,38.959999999999994,50.25,1.6304347826086956
Flagler,41.019999999999996,119.0,117515.0,39.275,48.0,1.0126366846785517
Flathead,41.91428571428571,49.0,105950.0,39.260000000000005,48.55,0.4624823029731005
Fleming,39.44285714285714,28.0,15111.0,39.14,40.2,1.8529548011382435
Florence,42.357142857142854,98.0,70794.5,42.160000000000004,42.85,1.384288327483067
Floyd,42.614285714285714,262.0,41838.5,40.99333333333333,46.666666666666664,6.262174791161251
Fluvanna,49.4,27.0,27442.0,49.3,49.65,0.9838933022374462
Ford,39.18571428571429,20.0,23848.0,37.65,43.025,0.8386447500838644
Forest,39.135714285714286,5.0,8099.0,40.089999999999996,36.75,0.6173601679219657
Forrest,38.01428571428572,75.0,77917.0,38.739999999999995,36.2,0.9625627270043764
Forsyth,46.371428571428574,714.0,318482.0,44.53,50.975,2.241884941692152
Fountain,42.228571428571435,35.0,16468.0,40.42,46.75,2.1253339810541654
Franklin,42.60421686746988,612.6666666666666,89925.5,41.54621848739496,45.28297872340426,6.813047096392754
Frederick,48.26428571428572,424.0,182918.0,46.94,51.575,2.317978547764572
Freeborn,43.91428571428571,29.0,30857.0,43.739999999999995,44.35,0.9398191658294714
Freestone,39.042857142857144,20.0,19599.0,35.7,47.4,1.0204602275626309
Fremont,41.29642857142857,108.0,27166.75,39.405,46.025,3.97544792807384
Fresno,33.48571428571429,528.0,1008280.0,33.58,33.25,0.5236640615701987
Frio,31.82857142857143,19.0,18151.0,28.6,39.900000000000006,1.0467742824086828
Frontier,44.285714285714285,9.0,2491.0,45.32,41.7,3.6130068245684464
Fulton,41.44464285714286,1119.0,155643.125,40.655,43.418749999999996,7.189524111649647
Furnas,41.871428571428574,3.0,4630.0,45.64,32.45,0.6479481641468683
Gadsden,34.12,25.0,43746.0,35.575,28.3,0.5714808211036438
Gage,42.98571428571428,8.0,21654.0,43.22,42.4,0.36944675348665373
Gaines,34.8,13.0,21523.0,30.76,44.9,0.604005017887841
Gallatin,41.11578947368421,61.0,44457.333333333336,40.23571428571428,43.580000000000005,1.3721020903937857
Gallia,39.271428571428565,20.0,29276.0,40.2,36.95,0.6831534362617845
Galveston,41.1,347.0,350801.0,37.160000000000004,50.95,0.989164797135698
Garfield,43.46904761904762,97.0,22396.5,43.376666666666665,43.699999999999996,4.331033866898846
Garland,45.18571428571429,88.0,100021.0,43.1,50.4,0.879815238799852
Garrard,42.971428571428575,22.0,17175.0,42.0,45.4,1.2809315866084425
Garrett,43.48571428571428,28.0,28856.0,42.78,45.25,0.9703354588300527
Garvin,41.728571428571435,12.0,25806.0,40.58,44.6,0.4650081376424087
Gasconade,44.08571428571429,12.0,14801.0,44.54,42.95,0.8107560299979731
Gaston,45.57142857142857,225.0,228972.0,43.88,49.8,0.982652900791363
Geary,37.457142857142856,49.0,36247.0,36.7,39.349999999999994,1.351836014014953
Geauga,48.01428571428572,220.0,95455.0,46.339999999999996,52.2,2.3047509297574775
Gem,39.91428571428571,38.0,19250.0,36.1,49.45,1.974025974025974
Genesee,42.785714285714285,410.0,231742.0,41.29,46.525,1.7692088615788248
Geneva,40.357142857142854,70.0,26647.0,39.8,41.75,2.626937366307652
Gentry,41.18571428571429,3.0,6219.0,40.64,42.55,0.482392667631452
George,36.98571428571428,6.0,24547.0,35.339999999999996,41.1,0.244429054466941
Georgetown,48.885714285714286,83.0,63594.0,45.519999999999996,57.3,1.3051545743309119
Gibson,40.57857142857143,67.0,41730.5,39.209999999999994,44.0,1.6055403122416458
Gila,42.34285714285715,38.0,53419.0,35.64,59.1,0.7113573822048335
Gilchrist,33.54,21.0,18070.0,33.675,33.0,1.162147205312673
Giles,43.535714285714285,55.0,23514.0,41.71,48.1,2.3390320660032318
Gillespie,45.92857142857143,50.0,26953.0,43.760000000000005,51.349999999999994,1.8550810670426297
Gilmer,40.33571428571429,85.0,19481.5,39.55,42.3,4.363113723275929
Gilpin,46.714285714285715,5.0,5856.0,46.019999999999996,48.45,0.8538251366120219
Glacier,32.51428571428571,15.0,13781.0,35.28,25.6,1.0884551193672447
Glades,35.14,31.0,12179.0,33.75,40.7,2.5453649724936365
Gladwin,43.528571428571425,16.0,25461.0,43.22,44.3,0.6284120812222616
Glasscock,39.07142857142857,20.0,1068.0,35.54,47.900000000000006,18.726591760299627
Glenn,36.357142857142854,20.0,28657.0,36.839999999999996,35.15,0.6979097602679973
Gloucester,45.76923076923077,210.0,170748.0,45.400000000000006,46.6,1.229882634057207
Glynn,39.55714285714286,70.0,84566.0,38.72,41.65,0.8277558356786415
Gogebic,44.871428571428574,11.0,14597.0,46.019999999999996,42.0,0.7535795026375283
Goliad,41.92857142857143,13.0,7092.0,39.38,48.3,1.8330513254371121
Gonzales,36.5,13.0,19736.0,33.5,44.0,0.658694770976895
Goochland,50.357142857142854,87.0,24906.0,50.3,50.5,3.4931341845338473
Goodhue,45.371428571428574,69.0,47697.0,47.06,41.15,1.4466318636392226
Gooding,37.05714285714286,6.0,15520.0,34.2,44.2,0.38659793814432986
Gordon,37.44285714285714,28.0,57785.0,35.06,43.4,0.48455481526347666
Gosper,44.05714285714286,9.0,1873.0,45.519999999999996,40.4,4.805125467164976
Grady,41.385714285714286,60.0,40694.5,40.41,43.825,1.4744007175416827
Grafton,47.17142857142857,86.0,90836.0,49.62,41.05,0.9467611960015853
Graham,41.476190476190474,38.0,16310.0,41.39333333333333,41.68333333333333,2.3298589822194975
Grainger,39.128571428571426,2.0,23648.0,36.44,45.849999999999994,0.08457374830852504
Grand,42.228571428571435,38.666666666666664,40196.2,40.68,46.1,0.9619483102051106
Granite,43.871428571428574,7.0,3368.0,43.78,44.099999999999994,2.0783847980997625
Grant,41.864285714285714,141.5,23813.133333333335,42.01,41.5,5.942099177764651
Granville,43.271428571428565,99.0,61161.0,43.22,43.4,1.618678569676755
Gratiot,40.51428571428572,57.0,41534.0,39.660000000000004,42.650000000000006,1.3723696248856359
Graves,40.4,95.0,36701.0,39.160000000000004,43.5,2.588485327375276
Gray,38.94285714285714,50.0,13495.5,36.82,44.25,3.704938683264792
Grayson,41.53809523809524,146.0,59609.666666666664,40.64666666666667,43.76666666666667,2.449267177023861
Green,42.642857142857146,28.0,22452.333333333332,42.06,44.1,1.247086420119661
Greenbrier,43.72857142857142,29.0,32995.0,45.17999999999999,40.099999999999994,0.8789210486437339
Greene,42.182653061224485,827.0,57150.57142857143,41.511428571428574,43.86071428571428,14.470546476225708
Greensville,36.542857142857144,13.0,11373.0,35.94,38.05,1.1430581201090302
Greenup,44.4,47.0,35853.0,45.2,42.4,1.3109084316514656
Greenville,46.142857142857146,491.0,528251.0,44.12,51.2,0.9294823862141293
Greenwood,42.949999999999996,64.0,37655.0,42.989999999999995,42.85,1.6996414818749168
Greer,38.028571428571425,4.0,5531.0,38.38,37.150000000000006,0.7231965286566624
Gregg,38.31428571428571,102.0,124245.0,34.08,48.9,0.8209585898828926
Grenada,37.728571428571435,23.0,21474.0,36.08,41.85,1.0710626804507777
Grimes,37.55714285714286,48.0,29442.0,34.54,45.099999999999994,1.6303240269003463
Grundy,44.089285714285715,116.0,22100.75,43.2,46.3125,5.248690655294504
Guadalupe,40.449999999999996,235.0,89120.5,37.87,46.9,2.6368792814223436
Guernsey,39.94285714285714,24.0,38409.0,38.08,44.6,0.6248535499492307
Guilford,44.971428571428575,508.0,539557.0,45.480000000000004,43.7,0.9415131302160847
Gulf,36.88,7.0,15002.0,35.725,41.5,0.4666044527396347
Gunnison,44.07142857142857,15.0,17018.0,42.160000000000004,48.849999999999994,0.8814196732871078
Guthrie,48.214285714285715,3.0,10619.0,48.5,47.5,0.2825124776344289
Gwinnett,38.771428571428565,709.0,957977.0,35.3,47.45,0.7401012759178979
Habersham,39.44285714285714,61.0,46326.0,38.0,43.05,1.3167551698830031
Hale,34.785714285714285,31.0,23633.5,32.93,39.425,1.3116973787208837
Halifax,42.26428571428572,59.0,41392.5,42.85,40.8,1.4253789937790664
Hall,40.45238095238095,303.0,90125.0,39.406666666666666,43.06666666666666,3.361997226074896
Hamblen,39.699999999999996,58.0,64531.0,37.86,44.3,0.8987928282530877
Hamilton,43.96911764705882,1518.0,160612.4,42.67755102040816,47.300000000000004,9.451325053358271
Hamlin,42.18571428571429,14.0,6196.0,43.46,39.0,2.2595222724338284
Hampden,45.4,119.0,464575.0,45.08,46.2,0.25614809234246355
Hampshire,45.721428571428575,50.0,88603.0,45.21,47.0,0.5643149780481473
